t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
1.1;-7.211391286;9.501041071;0;0.267251307;-0.963626867;0;0.963626867;0.267251307;0;0;0;1
1.11;-7.208718313;9.49140493;0;0.267343321;-0.963601343;0;0.963601343;0.267343321;0;0;0;1
1.12;-7.20604442;9.481769044;0;0.267435428;-0.963575784;0;0.963575784;0.267435428;0;0;0;1
1.13;-7.203369604;9.472133414;0;0.267527629;-0.96355019;0;0.96355019;0.267527629;0;0;0;1
1.14;-7.200693867;9.46249804;0;0.267619922;-0.96352456;0;0.96352456;0.267619922;0;0;0;1
1.15;-7.198017206;9.452862923;0;0.267712307;-0.963498895;0;0.963498895;0.267712307;0;0;0;1
1.16;-7.19533962;9.443228063;0;0.267804788;-0.963473194;0;0.963473194;0.267804788;0;0;0;1
1.17;-7.19266111;9.433593459;0;0.267897361;-0.963447458;0;0.963447458;0.267897361;0;0;0;1
1.18;-7.189981673;9.423959114;0;0.267990026;-0.963421687;0;0.963421687;0.267990026;0;0;0;1
1.19;-7.187301309;9.414325026;0;0.268082787;-0.963395879;0;0.963395879;0.268082787;0;0;0;1
1.2;-7.184620017;9.404691196;0;0.268175642;-0.963370035;0;0.963370035;0.268175642;0;0;0;1
1.21;-7.181937796;9.395057625;0;0.268268589;-0.963344157;0;0.963344157;0.268268589;0;0;0;1
1.22;-7.179254645;9.385424313;0;0.268361632;-0.963318242;0;0.963318242;0.268361632;0;0;0;1
1.23;-7.176570563;9.37579126;0;0.268454769;-0.96329229;0;0.96329229;0.268454769;0;0;0;1
1.24;-7.173885549;9.366158467;0;0.268547999;-0.963266304;0;0.963266304;0.268547999;0;0;0;1
1.25;-7.171199602;9.356525934;0;0.268641326;-0.963240281;0;0.963240281;0.268641326;0;0;0;1
1.26;-7.168512722;9.346893662;0;0.268734747;-0.963214221;0;0.963214221;0.268734747;0;0;0;1
1.27;-7.165824907;9.33726165;0;0.268828262;-0.963188126;0;0.963188126;0.268828262;0;0;0;1
1.28;-7.163136157;9.3276299;0;0.268921873;-0.963161994;0;0.963161994;0.268921873;0;0;0;1
1.29;-7.160446469;9.31799841;0;0.26901558;-0.963135825;0;0.963135825;0.26901558;0;0;0;1
1.3;-7.157755845;9.308367183;0;0.269109382;-0.96310962;0;0.96310962;0.269109382;0;0;0;1
1.31;-7.155064281;9.298736218;0;0.269203278;-0.963083379;0;0.963083379;0.269203278;0;0;0;1
1.32;-7.152371779;9.289105516;0;0.269297273;-0.963057101;0;0.963057101;0.269297273;0;0;0;1
1.33;-7.149678336;9.279475076;0;0.269391362;-0.963030786;0;0.963030786;0.269391362;0;0;0;1
1.34;-7.146983951;9.2698449;0;0.269485546;-0.963004434;0;0.963004434;0.269485546;0;0;0;1
1.35;-7.144288625;9.260214988;0;0.269579828;-0.962978045;0;0.962978045;0.269579828;0;0;0;1
1.36;-7.141592354;9.250585339;0;0.269674207;-0.96295162;0;0.96295162;0.269674207;0;0;0;1
1.37;-7.13889514;9.240955955;0;0.26976868;-0.962925158;0;0.962925158;0.26976868;0;0;0;1
1.38;-7.136196981;9.231326836;0;0.269863252;-0.962898658;0;0.962898658;0.269863252;0;0;0;1
1.39;-7.133497875;9.221697982;0;0.269957921;-0.962872121;0;0.962872121;0.269957921;0;0;0;1
1.4;-7.130797822;9.212069394;0;0.270052686;-0.962845547;0;0.962845547;0.270052686;0;0;0;1
1.41;-7.128096821;9.202441071;0;0.270147548;-0.962818935;0;0.962818935;0.270147548;0;0;0;1
1.42;-7.125394871;9.192813015;0;0.270242509;-0.962792286;0;0.962792286;0.270242509;0;0;0;1
1.43;-7.12269197;9.183185226;0;0.270337566;-0.9627656;0;0.9627656;0.270337566;0;0;0;1
1.44;-7.119988119;9.173557703;0;0.27043272;-0.962738876;0;0.962738876;0.27043272;0;0;0;1
1.45;-7.117283316;9.163930448;0;0.270527975;-0.962712114;0;0.962712114;0.270527975;0;0;0;1
1.46;-7.114577559;9.154303461;0;0.270623326;-0.962685315;0;0.962685315;0.270623326;0;0;0;1
1.47;-7.111870849;9.144676742;0;0.270718775;-0.962658478;0;0.962658478;0.270718775;0;0;0;1
1.48;-7.109163183;9.135050292;0;0.270814323;-0.962631603;0;0.962631603;0.270814323;0;0;0;1
1.49;-7.106454562;9.12542411;0;0.27090997;-0.962604689;0;0.962604689;0.27090997;0;0;0;1
1.5;-7.103744984;9.115798198;0;0.271005715;-0.962577738;0;0.962577738;0.271005715;0;0;0;1
1.51;-7.101034447;9.106172556;0;0.271101558;-0.96255075;0;0.96255075;0.271101558;0;0;0;1
1.52;-7.098322952;9.096547183;0;0.271197502;-0.962523722;0;0.962523722;0.271197502;0;0;0;1
1.53;-7.095610497;9.086922081;0;0.271293545;-0.962496656;0;0.962496656;0.271293545;0;0;0;1
